y=1595, x=454..478
x=557, y=894..921
x=460, y=1379..1384
x=612, y=1000..1002
y=745, x=580..587
x=500, y=622..624
x=465, y=1911..1924
x=619, y=892..905
y=886, x=550..569
x=565, y=1095..1107
y=428, x=463..481
y=750, x=640..647
y=1705, x=549..577
x=554, y=982..987
x=637, y=1646..1654
x=627, y=390..396
x=611, y=1157..1169
x=538, y=1307..1320
y=64, x=667..669
y=84, x=485..505
x=526, y=311..319
y=990, x=500..502
x=485, y=1407..1417
x=544, y=73..79
y=133, x=525..530
y=1829, x=446..448
x=553, y=1317..1335
y=707, x=649..653
y=386, x=582..606
y=1235, x=626..676
x=643, y=1492..1512
x=579, y=1488..1495
x=655, y=122..145
x=557, y=1495..1499
x=582, y=1142..1168
y=1476, x=548..552
x=634, y=212..221
x=531, y=967..974
x=636, y=584..587
x=671, y=1783..1786
y=232, x=521..537
x=584, y=1888..1905
x=639, y=670..684
y=332, x=615..618
y=1813, x=438..462
y=357, x=536..541
x=680, y=181..190
x=509, y=8..17
y=740, x=657..659
y=319, x=518..526
x=491, y=522..547
x=518, y=27..38
x=463, y=408..428
x=596, y=9..18
x=577, y=322..330
y=1809, x=613..625
x=654, y=1896..1915
y=1480, x=538..558
x=548, y=19..27
y=910, x=465..487
y=985, x=663..667
x=482, y=615..631
x=492, y=1953..1955
y=1128, x=439..443
y=1157, x=552..557
x=578, y=614..625
x=595, y=634..662
x=562, y=349..352
y=291, x=617..623
y=251, x=539..544
x=645, y=1870..1881
x=676, y=1222..1235
y=1353, x=509..512
y=515, x=610..626
x=667, y=10..21
x=439, y=1113..1128
x=610, y=1399..1401
x=561, y=1300..1310
x=551, y=1067..1080
x=469, y=605..631
x=589, y=942..951
x=530, y=241..254
y=128, x=607..617
y=1607, x=515..539
y=1921, x=451..454
x=546, y=1717..1742
x=567, y=736..749
y=631, x=454..469
y=923, x=647..649
x=431, y=1951..1964
x=674, y=1784..1786
x=515, y=268..271
x=655, y=152..158
x=513, y=1770..1775
x=605, y=1581..1600
y=1080, x=551..564
x=590, y=864..891
y=1443, x=436..439
y=149, x=611..636
x=474, y=1470..1486
x=672, y=1097..1100
x=488, y=1005..1024
x=648, y=1630..1640
x=575, y=385..395
x=647, y=746..750
x=434, y=1521..1539
y=887, x=486..501
x=557, y=1889..1905
x=558, y=635..646
x=580, y=1076..1085
x=481, y=585..605
x=626, y=1221..1235
y=902, x=626..631
x=551, y=690..701
x=618, y=316..332
x=516, y=1365..1375
y=1799, x=471..494
x=633, y=855..864
x=652, y=618..645
y=375, x=643..650
y=784, x=534..552
x=462, y=1754..1760
y=1116, x=519..536
y=854, x=488..501
x=473, y=726..733
y=1401, x=602..610
x=614, y=211..221
x=651, y=152..158
x=607, y=1807..1809
y=835, x=544..557
x=530, y=867..886
y=1408, x=657..677
x=619, y=1466..1484
x=556, y=495..505
x=490, y=1665..1670
y=1972, x=434..441
x=441, y=1970..1972
x=651, y=1174..1186
y=416, x=568..570
x=435, y=322..336
x=546, y=1644..1663
y=1752, x=505..507
x=468, y=1953..1961
y=733, x=606..610
x=632, y=674..681
y=1371, x=457..460
x=659, y=1647..1654
x=606, y=962..985
x=648, y=1439..1447
y=462, x=581..591
y=1204, x=520..547
y=1046, x=610..626
x=478, y=1610..1620
x=451, y=1917..1921
x=488, y=290..299
x=661, y=854..870
x=457, y=1410..1432
x=557, y=1099..1103
x=485, y=1705..1716
x=494, y=1921..1932
y=294, x=532..552
x=515, y=1330..1333
x=656, y=1658..1667
y=1539, x=434..454
x=482, y=1060..1071
y=1439, x=616..630
y=547, x=473..491
x=496, y=206..220
x=514, y=50..60
x=602, y=811..815
y=1320, x=521..538
x=543, y=677..683
x=638, y=616..619
x=652, y=9..21
x=445, y=879..893
x=678, y=1686..1699
y=1756, x=651..676
x=453, y=1952..1964
y=1375, x=516..530
x=671, y=582..593
y=893, x=430..445
x=617, y=1675..1688
x=493, y=96..108
x=503, y=47..56
y=563, x=480..482
y=1932, x=494..501
x=647, y=935..945
x=552, y=778..784
x=636, y=343..347
x=526, y=1740..1765
y=1623, x=636..655
y=1300, x=530..548
x=585, y=1143..1168
x=583, y=675..687
x=579, y=812..815
x=551, y=1489..1502
y=945, x=642..647
x=631, y=890..902
y=1745, x=455..469
x=643, y=370..375
y=796, x=490..496
x=655, y=1474..1481
x=527, y=737..747
y=448, x=530..546
x=521, y=1766..1780
x=541, y=305..315
x=536, y=1391..1395
x=460, y=281..290
x=556, y=775..785
x=499, y=75..78
y=1629, x=503..554
y=1180, x=461..467
x=452, y=1600..1614
y=449, x=507..519
y=1747, x=598..604
x=447, y=440..462
x=556, y=1383..1402
y=1883, x=657..679
x=634, y=977..987
x=471, y=792..816
x=559, y=1593..1598
y=948, x=635..654
x=590, y=473..475
x=525, y=967..974
y=373, x=565..567
y=1851, x=666..671
y=701, x=596..602
y=1905, x=557..584
x=490, y=753..757
x=494, y=1254..1257
x=562, y=260..270
x=504, y=1048..1050
x=564, y=349..352
x=561, y=1025..1028
y=741, x=580..587
y=1253, x=676..678
y=105, x=500..505
y=1858, x=429..436
y=1650, x=521..537
x=546, y=578..582
x=454, y=1594..1595
x=441, y=1777..1793
x=582, y=184..199
y=1031, x=553..577
x=454, y=1849..1862
x=505, y=71..84
x=669, y=50..64
y=290, x=488..492
y=1961, x=468..472
x=578, y=184..199
x=544, y=282..291
x=653, y=1873..1884
y=749, x=567..593
y=396, x=627..652
x=516, y=162..172
y=107, x=581..586
y=1716, x=461..485
y=669, x=464..473
x=511, y=892..914
x=681, y=1498..1520
y=1256, x=667..684
x=432, y=781..799
x=575, y=1338..1354
x=564, y=1560..1572
y=1100, x=670..672
x=476, y=1520..1531
x=657, y=95..100
y=690, x=457..461
x=643, y=1028..1043
x=544, y=894..921
x=608, y=1911..1914
x=559, y=384..395
x=541, y=938..964
x=668, y=533..558
x=436, y=271..280
x=568, y=382..392
x=550, y=883..886
x=469, y=1708..1711
y=681, x=473..477
y=631, x=482..507
x=514, y=933..940
x=498, y=1721..1735
x=537, y=1224..1248
x=543, y=1740..1765
x=664, y=1055..1075
y=1486, x=446..474
y=240, x=619..621
x=650, y=655..673
x=679, y=1868..1883
x=487, y=438..455
x=532, y=519..545
x=492, y=1485..1496
y=392, x=565..568
x=639, y=475..478
y=602, x=619..634
y=1534, x=613..618
y=859, x=625..627
x=446, y=1827..1829
x=494, y=943..954
x=676, y=1731..1756
y=1458, x=493..511
x=469, y=271..275
x=434, y=271..280
x=488, y=1973..1984
x=675, y=1353..1364
x=680, y=1610..1622
y=1112, x=462..480
x=538, y=1468..1480
y=1372, x=522..524
x=514, y=1481..1495
y=954, x=494..515
y=1221, x=582..590
x=668, y=425..429
x=508, y=932..940
x=646, y=1592..1597
y=1002, x=612..614
x=530, y=1722..1726
x=552, y=495..505
x=569, y=884..886
x=505, y=1752..1754
y=1413, x=471..475
x=435, y=42..56
y=175, x=487..498
x=635, y=938..948
x=515, y=1550..1560
y=904, x=452..455
x=525, y=1481..1495
y=1972, x=589..614
x=464, y=1766..1775
y=331, x=448..450
x=547, y=1516..1519
x=448, y=1777..1793
x=588, y=1916..1918
x=632, y=328..336
x=651, y=1024..1040
x=663, y=532..558
y=158, x=651..655
y=714, x=642..667
y=564, x=634..656
y=1976, x=472..480
x=450, y=315..331
y=1059, x=454..460
y=1837, x=495..522
x=561, y=1593..1598
x=567, y=362..373
x=476, y=1079..1091
x=670, y=1352..1364
x=490, y=556..567
x=527, y=220..228
x=493, y=1444..1458
x=537, y=1513..1522
x=559, y=1162..1182
x=659, y=522..526
x=507, y=574..595
y=1021, x=531..549
x=541, y=73..79
x=619, y=591..602
x=471, y=54..61
x=576, y=1197..1211
x=485, y=1384..1396
x=487, y=896..910
x=580, y=1582..1600
x=629, y=615..619
x=592, y=538..548
y=226, x=455..457
y=974, x=525..531
x=494, y=1953..1955
x=494, y=1789..1799
x=598, y=454..466
x=530, y=1225..1248
y=1356, x=495..522
x=488, y=1665..1670
x=624, y=1948..1976
x=661, y=1610..1622
y=475, x=590..601
x=454, y=579..589
x=637, y=806..828
x=663, y=523..526
x=617, y=120..128
x=493, y=332..337
x=552, y=1132..1157
x=662, y=1534..1552
y=820, x=618..620
x=647, y=911..923
x=462, y=917..939
x=526, y=1864..1872
x=515, y=1043..1054
y=1881, x=643..645
y=1122, x=621..640
x=582, y=58..63
y=1500, x=442..448
x=526, y=628..643
x=659, y=265..289
x=648, y=314..319
y=511, x=546..562
x=588, y=1323..1329
x=581, y=457..462
x=547, y=1201..1204
x=557, y=1132..1157
x=606, y=364..386
x=530, y=1289..1300
x=594, y=678..684
y=964, x=530..541
x=478, y=1660..1673
x=517, y=268..271
y=1574, x=604..631
x=591, y=457..462
x=565, y=823..838
y=395, x=559..575
x=590, y=558..568
x=567, y=1799..1827
y=1598, x=559..561
x=517, y=518..545
y=1896, x=572..576
x=621, y=1847..1850
x=595, y=1495..1510
y=713, x=483..506
x=455, y=1933..1946
y=578, x=546..561
x=447, y=491..494
x=443, y=1021..1022
y=645, x=652..674
y=1025, x=561..568
x=480, y=1102..1112
x=657, y=1054..1075
x=536, y=355..357
x=614, y=1960..1972
y=1673, x=478..496
y=1091, x=476..480
y=1179, x=484..488
x=511, y=1445..1458
y=1758, x=492..513
y=220, x=496..500
y=1984, x=447..488
y=1640, x=648..662
y=542, x=524..526
x=470, y=1435..1458
x=530, y=736..747
y=1754, x=505..507
x=520, y=703..725
x=449, y=792..816
y=1715, x=613..622
y=1162, x=508..533
x=626, y=890..902
y=1819, x=483..531
x=641, y=1196..1210
y=608, x=542..566
y=1145, x=480..497
x=472, y=831..837
x=592, y=519..531
x=541, y=355..357
x=454, y=1039..1059
y=1614, x=432..452
y=275, x=442..469
y=1006, x=604..620
y=1236, x=497..507
x=544, y=703..725
x=471, y=687..696
x=511, y=1770..1775
x=615, y=316..332
x=666, y=374..376
x=458, y=1020..1022
x=468, y=1436..1458
x=524, y=1722..1726
x=610, y=496..515
x=460, y=609..620
x=441, y=1911..1924
x=648, y=465..490
x=554, y=1564..1565
x=461, y=1852..1854
y=912, x=529..534
x=557, y=260..270
x=482, y=561..563
x=498, y=1968..1970
x=459, y=469..487
y=1663, x=544..546
y=735, x=606..610
x=525, y=160..168
y=587, x=633..636
x=502, y=722..748
x=656, y=356..379
x=626, y=1949..1976
x=492, y=7..17
y=886, x=520..530
x=618, y=874..884
y=1495, x=514..525
x=568, y=429..443
y=939, x=462..485
y=489, x=562..582
x=440, y=726..728
x=586, y=593..602
y=385, x=497..522
y=265, x=482..493
x=616, y=1140..1142
